ID,BPName,BPLocation,BPLat,BPLon,WSID,CSVScale,EntryRiverName,RiverCode,SubRiverCode,OfficeCode,BPTime,isDepthMax,isStartMax,isDurationMax
a1a8958c-a55f-452f-8eb9-ef6bf6c7d058,BP048,î„à…êÏ4.8Km âEä›îjíÁ,35.4207662,132.8294757,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
08c43b55-8517-4cc7-9b70-b7788a6fd191,BP049,î„à…êÏ5.0Km âEä›îjíÁ,35.41973365,132.8276664,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
6b858168-faa5-405d-ab86-546b1f0436b7,BP050,î„à…êÏ5.2Km âEä›îjíÁ,35.41885745,132.8256661,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,True,False
1229f752-2419-4fa2-9d8f-a75e4204c1e8,BP051,î„à…êÏ7.8Km âEä›îjíÁ,35.40458391,132.8040923,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
5759cdaf-a18c-4e61-bd39-7584cd17e66f,BP052,î„à…êÏ8.0Km âEä›îjíÁ,35.40306412,132.8025767,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
dbc62008-7084-4909-8854-e191d376fba5,BP053,î„à…êÏ8.2Km âEä›îjíÁ,35.40200724,132.8007476,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160]",False,False,False
2ff4f46d-cea3-4fac-bb62-c7710318a55f,BP054,î„à…êÏ8.4Km âEä›îjíÁ,35.40093199,132.7988966,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
c4c627f4-9679-460d-96cd-368a10d8e6d6,BP055,î„à…êÏ8.6Km âEä›îjíÁ,35.39993051,132.7970305,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
b6b5b912-7912-4c94-9ff6-eb94883e6911,BP056,î„à…êÏ8.8Km âEä›îjíÁ,35.39892512,132.7952079,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
c7098a90-479b-42d3-8f4b-bf19e4e0aa9b,BP057,î„à…êÏ9.0Km âEä›îjíÁ,35.39807053,132.7932827,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
3b02c9c5-f554-4d03-8dcc-9ccbea0fc3f8,BP059,î„à…êÏ9.4Km âEä›îjíÁ,35.3957035,132.7901805,,1,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800]",False,False,False
2d8e1f5d-75ac-4a3d-acd5-b26c410873e8,BP113,î„à…êÏ4.4Km âEä›îjíÁ,35.42281153,132.8330581,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960]",False,False,False
1a17a273-5042-4640-9bc6-6c72f8fa2e1b,BP115,î„à…êÏ4.8Km âEä›îjíÁ,35.4207662,132.8294757,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160]",False,False,False
07a596b9-3bf6-4be4-99ae-b62ee941d269,BP116,î„à…êÏ5.0Km âEä›îjíÁ,35.41973365,132.8276664,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840]",False,False,False
c286ec3f-7459-4e8c-90b6-cc6e5a569bc8,BP117,î„à…êÏ5.2Km âEä›îjíÁ,35.41885745,132.8256661,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160, 21600]",False,True,False
24d4e1d9-ddad-4e93-86ca-64ffb7635b49,BP118,î„à…êÏ5.4Km âEä›îjíÁ,35.41803167,132.8236599,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160, 21600]",True,True,True
245a2e0a-0607-4b4c-bbe8-91d6bcd381ad,BP119,î„à…êÏ5.6Km âEä›îjíÁ,35.41725494,132.8217036,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160, 21600]",False,False,False
f3fc2e9e-500d-4b08-a4ac-24fc5ab5cb83,BP120,î„à…êÏ5.8Km âEä›îjíÁ,35.41646436,132.8197192,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160, 21600]",False,False,False
6d07a5f7-56f9-4eb9-ac36-49de301a9b73,BP121,î„à…êÏ6.0Km âEä›îjíÁ,35.41564443,132.8177573,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160, 21600]",False,False,False
72e615e8-6335-4150-a39e-8e9604725b41,BP122,î„à…êÏ6.2Km âEä›îjíÁ,35.41485301,132.8157815,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160]",False,False,False
ecb3ac24-7a12-42ad-9607-d18950af4f75,BP123,î„à…êÏ6.4Km âEä›îjíÁ,35.41401644,132.8137566,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160, 21600]",False,False,False
b68720c0-89ee-4e47-b172-ff38d2a04113,BP124,î„à…êÏ6.6Km âEä›îjíÁ,35.41324094,132.8119308,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720]",False,False,False
6911ad33-502b-4bf1-af06-0c0afaba0cdf,BP125,î„à…êÏ6.8Km âEä›îjíÁ,35.41181572,132.8105539,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280]",False,False,False
2178f2b7-2122-4ddf-8843-e9bf28d6bf9d,BP126,î„à…êÏ7.0Km âEä›îjíÁ,35.41024592,132.8095136,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400]",False,False,False
f54fecc6-9f35-4b25-8e8b-85ea5ad25196,BP127,î„à…êÏ7.2Km âEä›îjíÁ,35.40862524,132.8084589,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160]",False,False,False
dd651513-78fd-4e73-afc2-7fe6b4951d9c,BP128,î„à…êÏ7.4Km âEä›îjíÁ,35.40715582,132.8071775,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720]",False,False,False
9be8d813-fa68-4c94-bc51-748e35f772d2,BP129,î„à…êÏ7.6Km âEä›îjíÁ,35.40585901,132.8057357,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160]",False,False,False
a78370e4-aa41-4361-ba53-7f2566535d74,BP130,î„à…êÏ7.8Km âEä›îjíÁ,35.40458391,132.8040923,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160]",False,False,False
1e4828d6-28c3-4ecf-82eb-a3ade420aefd,BP131,î„à…êÏ8.0Km âEä›îjíÁ,35.40306412,132.8025767,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160, 21600]",False,False,False
9c2f7af9-5f56-4e94-afc0-72b7a2f0f78f,BP132,î„à…êÏ8.2Km âEä›îjíÁ,35.40200724,132.8007476,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160, 21600]",False,False,False
8ee7451b-4afb-40b6-a8f8-b1c2ab624474,BP133,î„à…êÏ8.4Km âEä›îjíÁ,35.40093199,132.7988966,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160]",False,False,False
eeb9edd3-4d79-471a-bc96-3e0f6da95b2a,BP134,î„à…êÏ8.6Km âEä›îjíÁ,35.39993051,132.7970305,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160]",False,False,False
1a7d86fe-7dbe-4afb-a1fb-f11786ba26b5,BP135,î„à…êÏ8.8Km âEä›îjíÁ,35.39892512,132.7952079,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160, 21600]",False,False,False
9be18525-e400-495b-96cf-4510c1b6f1a3,BP136,î„à…êÏ9.0Km âEä›îjíÁ,35.39807053,132.7932827,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160]",False,False,False
f526e999-d3f3-4430-b189-8963377c2471,BP137,î„à…êÏ9.2Km âEä›îjíÁ,35.39685961,132.7916014,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960]",False,False,False
e22a4d1c-7185-47e6-b78f-aedeae128e31,BP138,î„à…êÏ9.4Km âEä›îjíÁ,35.3957035,132.7901805,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160, 21600]",False,False,False
1a91bd23-dd96-4ad3-a71c-585a91955de9,BP139,î„à…êÏ9.6Km âEä›îjíÁ,35.3944488,132.7886657,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160]",False,False,False
d018dc20-df78-4605-99ee-01568cc8bdca,BP140,î„à…êÏ9.8Km âEä›îjíÁ,35.39317185,132.7870651,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720]",False,False,False
760a96f1-ea24-4c42-b3a0-9f50a84316c5,BP141,î„à…êÏ10.0Km âEä›îjíÁ,35.39148155,132.7862904,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160]",False,False,False
44b0a712-29a1-403e-8fe7-439ae16c3b95,BP142,î„à…êÏ10.2Km âEä›îjíÁ,35.38991221,132.7852574,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400]",False,False,False
c14d51df-5bc4-4ad5-a4e1-cba06af6b614,BP143,î„à…êÏ10.4Km âEä›îjíÁ,35.38818948,132.7847319,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840]",False,False,False
be34dda2-2fac-499c-a987-6bdfcc63bb8e,BP144,î„à…êÏ10.6Km âEä›îjíÁ,35.38644125,132.7846275,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840]",False,False,False
ec37d11a-563d-4f16-b7b7-de91489fefa4,BP145,î„à…êÏ10.8Km âEä›îjíÁ,35.38460249,132.7847614,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400]",False,False,False
5b91e5c3-60c5-42c7-92be-f7fb5900c332,BP146,î„à…êÏ11.0Km âEä›îjíÁ,35.38284896,132.784844,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520]",False,False,False
2e1e8f55-d979-4ace-a339-a062e77c053e,BP147,î„à…êÏ11.2Km âEä›îjíÁ,35.38100181,132.784905,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280, 18720, 20160]",False,False,False
78cc4c4b-dcb4-4589-9746-2344433a19b7,BP148,î„à…êÏ11.4Km âEä›îjíÁ,35.37918217,132.78493,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280]",False,False,False
82d11f67-9fe6-4372-bf07-392683f2ebd5,BP150,î„à…êÏ11.8Km âEä›îjíÁ,35.37567864,132.7852006,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520]",False,False,False
da0d572b-54f3-47f7-8368-b358f7bc5d6d,BP151,î„à…êÏ12.0Km âEä›îjíÁ,35.37393041,132.7858744,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520]",False,False,False
a85a8012-0858-4e8e-8b40-3eefc049b647,BP152,î„à…êÏ12.2Km âEä›îjíÁ,35.37225622,132.786532,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960]",False,False,False
676c2484-3764-458e-a5dc-02923be62c93,BP153,î„à…êÏ12.4Km âEä›îjíÁ,35.37054059,132.7871393,,0,î„à…êÏ,8707040001,_,22303,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 240, 300, 360, 420, 480, 540, 720, 900, 1080, 1260, 1440, 1800, 2160, 2520, 2880, 3600, 4320, 5040, 5760, 6480, 7200, 7920, 8640, 9360, 10080, 11520, 12960, 14400, 15840, 17280]",False,False,False
